"","region","location","annualIncRateHt_median","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"23","Andina","Huila",341.9,"10.07
(1025738)","296.25
(1040086)","224.21
(1054423)","336.37
(1068844)","709.63
(1083189)","186.84
(1097584)","548.63
(1111947)","436.08
(1126316)","609.57
(1140539)","439.79
(1154777)","347.44
(1168869)","106.22
(1182944)"
"24","Orinoquía","Arauca",276.29,"4.55
(235252)","416
(238361)","347.87
(241446)","515.56
(244507)","1046.06
(247541)","90.49
(250569)","205.69
(253565)","435.12
(256527)","268.9
(259447)","283.68
(262315)","121.4
(265190)","113.26
(267992)"
"25","Orinoquía","Casanare",589.38,"8.86
(301371)","631.33
(307441)","532.85
(313431)","1109.02
(319515)","655
(325621)","255.76
(331734)","635.61
(337886)","993.58
(344040)","644.32
(350239)","547.42
(356479)","264.14
(362721)","113.1
(368989)"
"26","Orinoquía","Vichada",249.41,"6.32
(57344)","310.75
(58885)","253.8
(60494)","91.77
(62071)","575.79
(63670)","465.61
(65282)","162.57
(66917)","402.58
(68575)","297.81
(70260)","170.25
(71974)","245.02
(73702)","43.87
(75468)"
"27","Orinoquía","Meta",332.19,"3.27
(800581)","354.82
(817969)","185.29
(835526)","309.57
(853166)","683.97
(870921)","307.19
(888802)","686.84
(906805)","984.15
(924871)","817.86
(943072)","643.56
(961334)","265.79
(979710)","126.93
(998162)"
"28","Orinoquía","Guainía",156.93,"1.04
(35846)","127.11
(36464)","1166.11
(37084)","21.48
(37705)","434.9
(38328)","35.92
(38949)","288.32
(39574)","94.75
(40203)","490.53
(40839)","186.76
(41482)","484.29
(42123)","21.2
(42777)"
"29","Orinoquía","Guaviare",229.76,"1.63
(97135)","294.61
(98688)","204.6
(100208)","247
(101759)","675.58
(103307)","185.95
(104846)","110.32
(106386)","273.01
(107934)","662.97
(109490)","212.52
(111060)","266.35
(112621)","104.64
(114207)"
"30","Amazónica","Caquetá",118.33,"2
(425748)","80.1
(431020)","70.55
(436485)","32.55
(442071)","126.6
(447767)","110.07
(453588)","370.52
(459515)","236.03
(465487)","157.93
(471541)","174.83
(477642)","189.43
(483846)","54.42
(490056)"
"31","Amazónica","Vaupés",8.62,"0
(39741)","5.45
(40198)","7.38
(40649)","7.19
(41094)","184.47
(41534)","9.86
(41965)","64.4
(42392)","61.73
(42817)","23.86
(43240)","4.77
(43665)","24.96
(44079)","2.17
(44500)"
"32","Amazónica","Putumayo",400.81,"4.45
(313126)","244.7
(316209)","289.64
(319390)","252.5
(322681)","1040.95
(326093)","348.44
(329598)","453.19
(333247)","1053.51
(337054)","1094.34
(341034)","653.87
(345204)","813.11
(349537)","197.42
(354094)"
"33","Amazónica","Amazonas",115.23,"0
(68613)","20.43
(69474)","14.64
(70313)","18.88
(71167)","34.64
(72017)","739.31
(72858)","403.17
(73699)","373.51
(74541)","643.3
(75388)","215.88
(76243)","149.83
(77088)","80.63
(77948)"
"34","Colombia","",106.59,"2.23
(43405956)","101.27
(43926929)","84.57
(44451147)","120.52
(44978832)","368.36
(45509584)","69.75
(46044601)","119.78
(46581823)","275.36
(47121089)","232.35
(47661787)","251.3
(40324622)","259.67
(40767707)","64.01
(41210875)"
