"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Putumayo",2007-01-14,2007-01-20,2,2,"C-NIH"
"Dengue","Colombia","Quindio",2007-01-14,2007-01-20,70,70,"C-NIH"
"Dengue","Colombia","Risaralda",2007-01-14,2007-01-20,10,10,"C-NIH"
"Dengue","Colombia","San_Andres",2007-01-14,2007-01-20,0,0,"C-NIH"
"Dengue","Colombia","Santander",2007-01-14,2007-01-20,88,88,"C-NIH"
"Dengue","Colombia","Sucre",2007-01-14,2007-01-20,24,24,"C-NIH"
"Dengue","Colombia","Tolima",2007-01-14,2007-01-20,32,32,"C-NIH"
"Dengue","Colombia","Valle",2007-01-14,2007-01-20,7,7,"C-NIH"
"Dengue","Colombia","Vaupes",2007-01-14,2007-01-20,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2007-01-14,2007-01-20,1,1,"C-NIH"
"Dengue","Colombia","Amazonas",2007-01-21,2007-01-27,2,2,"C-NIH"
"Dengue","Colombia","Antioquia",2007-01-21,2007-01-27,4,4,"C-NIH"
"Dengue","Colombia","Arauca",2007-01-21,2007-01-27,9,9,"C-NIH"
"Dengue","Colombia","Atlantico",2007-01-21,2007-01-27,43,43,"C-NIH"
"Dengue","Colombia","Bogota",2007-01-21,2007-01-27,0,0,"C-NIH"
"Dengue","Colombia","Bolivar",2007-01-21,2007-01-27,9,9,"C-NIH"
"Dengue","Colombia","Boyaca",2007-01-21,2007-01-27,3,3,"C-NIH"
"Dengue","Colombia","Caldas",2007-01-21,2007-01-27,11,11,"C-NIH"
"Dengue","Colombia","Caqueta",2007-01-21,2007-01-27,6,6,"C-NIH"
"Dengue","Colombia","Casanare",2007-01-21,2007-01-27,15,15,"C-NIH"
"Dengue","Colombia","Cauca",2007-01-21,2007-01-27,5,5,"C-NIH"
"Dengue","Colombia","Cesar",2007-01-21,2007-01-27,24,24,"C-NIH"
"Dengue","Colombia","Choco",2007-01-21,2007-01-27,2,2,"C-NIH"
"Dengue","Colombia","Cordoba",2007-01-21,2007-01-27,8,8,"C-NIH"
"Dengue","Colombia","Cundinamarca",2007-01-21,2007-01-27,7,7,"C-NIH"
"Dengue","Colombia","Guainia",2007-01-21,2007-01-27,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2007-01-21,2007-01-27,4,4,"C-NIH"
"Dengue","Colombia","Guaviare",2007-01-21,2007-01-27,2,2,"C-NIH"
"Dengue","Colombia","Huila",2007-01-21,2007-01-27,66,66,"C-NIH"
"Dengue","Colombia","Magdalena",2007-01-21,2007-01-27,4,4,"C-NIH"
"Dengue","Colombia","Meta",2007-01-21,2007-01-27,36,36,"C-NIH"
"Dengue","Colombia","Narino",2007-01-21,2007-01-27,1,1,"C-NIH"
"Dengue","Colombia","Norte_Santander",2007-01-21,2007-01-27,94,94,"C-NIH"
"Dengue","Colombia","Putumayo",2007-01-21,2007-01-27,18,18,"C-NIH"
"Dengue","Colombia","Quindio",2007-01-21,2007-01-27,74,74,"C-NIH"
"Dengue","Colombia","Risaralda",2007-01-21,2007-01-27,15,15,"C-NIH"
"Dengue","Colombia","San_Andres",2007-01-21,2007-01-27,3,3,"C-NIH"
"Dengue","Colombia","Santander",2007-01-21,2007-01-27,112,112,"C-NIH"
"Dengue","Colombia","Sucre",2007-01-21,2007-01-27,19,19,"C-NIH"
"Dengue","Colombia","Tolima",2007-01-21,2007-01-27,46,46,"C-NIH"
"Dengue","Colombia","Valle",2007-01-21,2007-01-27,7,7,"C-NIH"
"Dengue","Colombia","Vaupes",2007-01-21,2007-01-27,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2007-01-21,2007-01-27,2,2,"C-NIH"
"Dengue","Colombia","Amazonas",2007-01-28,2007-02-03,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2007-01-28,2007-02-03,11,11,"C-NIH"
"Dengue","Colombia","Arauca",2007-01-28,2007-02-03,5,5,"C-NIH"
"Dengue","Colombia","Atlantico",2007-01-28,2007-02-03,51,51,"C-NIH"
"Dengue","Colombia","Bogota",2007-01-28,2007-02-03,0,0,"C-NIH"
"Dengue","Colombia","Bolivar",2007-01-28,2007-02-03,9,9,"C-NIH"
"Dengue","Colombia","Boyaca",2007-01-28,2007-02-03,2,2,"C-NIH"
"Dengue","Colombia","Caldas",2007-01-28,2007-02-03,8,8,"C-NIH"
"Dengue","Colombia","Caqueta",2007-01-28,2007-02-03,13,13,"C-NIH"
"Dengue","Colombia","Casanare",2007-01-28,2007-02-03,13,13,"C-NIH"
"Dengue","Colombia","Cauca",2007-01-28,2007-02-03,19,19,"C-NIH"
"Dengue","Colombia","Cesar",2007-01-28,2007-02-03,32,32,"C-NIH"
"Dengue","Colombia","Choco",2007-01-28,2007-02-03,1,1,"C-NIH"
"Dengue","Colombia","Cordoba",2007-01-28,2007-02-03,4,4,"C-NIH"
"Dengue","Colombia","Cundinamarca",2007-01-28,2007-02-03,11,11,"C-NIH"
"Dengue","Colombia","Guainia",2007-01-28,2007-02-03,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2007-01-28,2007-02-03,16,16,"C-NIH"
"Dengue","Colombia","Guaviare",2007-01-28,2007-02-03,12,12,"C-NIH"
"Dengue","Colombia","Huila",2007-01-28,2007-02-03,54,54,"C-NIH"
"Dengue","Colombia","Magdalena",2007-01-28,2007-02-03,17,17,"C-NIH"
"Dengue","Colombia","Meta",2007-01-28,2007-02-03,27,27,"C-NIH"
"Dengue","Colombia","Narino",2007-01-28,2007-02-03,1,1,"C-NIH"
"Dengue","Colombia","Norte_Santander",2007-01-28,2007-02-03,128,128,"C-NIH"
"Dengue","Colombia","Putumayo",2007-01-28,2007-02-03,8,8,"C-NIH"
"Dengue","Colombia","Quindio",2007-01-28,2007-02-03,86,86,"C-NIH"
"Dengue","Colombia","Risaralda",2007-01-28,2007-02-03,14,14,"C-NIH"
"Dengue","Colombia","San_Andres",2007-01-28,2007-02-03,0,0,"C-NIH"
"Dengue","Colombia","Santander",2007-01-28,2007-02-03,74,74,"C-NIH"
"Dengue","Colombia","Sucre",2007-01-28,2007-02-03,9,9,"C-NIH"
"Dengue","Colombia","Tolima",2007-01-28,2007-02-03,34,34,"C-NIH"
"Dengue","Colombia","Valle",2007-01-28,2007-02-03,5,5,"C-NIH"
"Dengue","Colombia","Vaupes",2007-01-28,2007-02-03,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2007-01-28,2007-02-03,2,2,"C-NIH"
"Dengue","Colombia","Amazonas",2007-02-04,2007-02-10,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2007-02-04,2007-02-10,8,8,"C-NIH"
"Dengue","Colombia","Arauca",2007-02-04,2007-02-10,15,15,"C-NIH"
"Dengue","Colombia","Atlantico",2007-02-04,2007-02-10,45,45,"C-NIH"
"Dengue","Colombia","Bogota",2007-02-04,2007-02-10,0,0,"C-NIH"
"Dengue","Colombia","Bolivar",2007-02-04,2007-02-10,8,8,"C-NIH"
"Dengue","Colombia","Boyaca",2007-02-04,2007-02-10,3,3,"C-NIH"
"Dengue","Colombia","Caldas",2007-02-04,2007-02-10,12,12,"C-NIH"
"Dengue","Colombia","Caqueta",2007-02-04,2007-02-10,20,20,"C-NIH"
"Dengue","Colombia","Casanare",2007-02-04,2007-02-10,9,9,"C-NIH"
"Dengue","Colombia","Cauca",2007-02-04,2007-02-10,10,10,"C-NIH"
"Dengue","Colombia","Cesar",2007-02-04,2007-02-10,49,49,"C-NIH"
"Dengue","Colombia","Choco",2007-02-04,2007-02-10,3,3,"C-NIH"
"Dengue","Colombia","Cordoba",2007-02-04,2007-02-10,3,3,"C-NIH"
"Dengue","Colombia","Cundinamarca",2007-02-04,2007-02-10,5,5,"C-NIH"
"Dengue","Colombia","Guainia",2007-02-04,2007-02-10,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2007-02-04,2007-02-10,9,9,"C-NIH"
"Dengue","Colombia","Guaviare",2007-02-04,2007-02-10,24,24,"C-NIH"
"Dengue","Colombia","Huila",2007-02-04,2007-02-10,73,73,"C-NIH"
"Dengue","Colombia","Magdalena",2007-02-04,2007-02-10,13,13,"C-NIH"
"Dengue","Colombia","Meta",2007-02-04,2007-02-10,23,23,"C-NIH"
"Dengue","Colombia","Narino",2007-02-04,2007-02-10,2,2,"C-NIH"
"Dengue","Colombia","Norte_Santander",2007-02-04,2007-02-10,136,136,"C-NIH"
"Dengue","Colombia","Putumayo",2007-02-04,2007-02-10,12,12,"C-NIH"
"Dengue","Colombia","Quindio",2007-02-04,2007-02-10,126,126,"C-NIH"
"Dengue","Colombia","Risaralda",2007-02-04,2007-02-10,11,11,"C-NIH"
"Dengue","Colombia","San_Andres",2007-02-04,2007-02-10,0,0,"C-NIH"
"Dengue","Colombia","Santander",2007-02-04,2007-02-10,122,122,"C-NIH"
"Dengue","Colombia","Sucre",2007-02-04,2007-02-10,16,16,"C-NIH"
"Dengue","Colombia","Tolima",2007-02-04,2007-02-10,51,51,"C-NIH"
"Dengue","Colombia","Valle",2007-02-04,2007-02-10,5,5,"C-NIH"
"Dengue","Colombia","Vaupes",2007-02-04,2007-02-10,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2007-02-04,2007-02-10,2,2,"C-NIH"
"Dengue","Colombia","Amazonas",2007-02-11,2007-02-17,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2007-02-11,2007-02-17,9,9,"C-NIH"
"Dengue","Colombia","Arauca",2007-02-11,2007-02-17,11,11,"C-NIH"
"Dengue","Colombia","Atlantico",2007-02-11,2007-02-17,34,34,"C-NIH"
"Dengue","Colombia","Bogota",2007-02-11,2007-02-17,0,0,"C-NIH"
"Dengue","Colombia","Bolivar",2007-02-11,2007-02-17,5,5,"C-NIH"
"Dengue","Colombia","Boyaca",2007-02-11,2007-02-17,7,7,"C-NIH"
"Dengue","Colombia","Caldas",2007-02-11,2007-02-17,27,27,"C-NIH"
"Dengue","Colombia","Caqueta",2007-02-11,2007-02-17,9,9,"C-NIH"
"Dengue","Colombia","Casanare",2007-02-11,2007-02-17,16,16,"C-NIH"
"Dengue","Colombia","Cauca",2007-02-11,2007-02-17,20,20,"C-NIH"
"Dengue","Colombia","Cesar",2007-02-11,2007-02-17,30,30,"C-NIH"
"Dengue","Colombia","Choco",2007-02-11,2007-02-17,0,0,"C-NIH"
"Dengue","Colombia","Cordoba",2007-02-11,2007-02-17,1,1,"C-NIH"
"Dengue","Colombia","Cundinamarca",2007-02-11,2007-02-17,3,3,"C-NIH"
"Dengue","Colombia","Guainia",2007-02-11,2007-02-17,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2007-02-11,2007-02-17,13,13,"C-NIH"
"Dengue","Colombia","Guaviare",2007-02-11,2007-02-17,16,16,"C-NIH"
"Dengue","Colombia","Huila",2007-02-11,2007-02-17,84,84,"C-NIH"
"Dengue","Colombia","Magdalena",2007-02-11,2007-02-17,12,12,"C-NIH"
"Dengue","Colombia","Meta",2007-02-11,2007-02-17,35,35,"C-NIH"
"Dengue","Colombia","Narino",2007-02-11,2007-02-17,0,0,"C-NIH"
"Dengue","Colombia","Norte_Santander",2007-02-11,2007-02-17,98,98,"C-NIH"
"Dengue","Colombia","Putumayo",2007-02-11,2007-02-17,6,6,"C-NIH"
"Dengue","Colombia","Quindio",2007-02-11,2007-02-17,104,104,"C-NIH"
"Dengue","Colombia","Risaralda",2007-02-11,2007-02-17,22,22,"C-NIH"
"Dengue","Colombia","San_Andres",2007-02-11,2007-02-17,0,0,"C-NIH"
"Dengue","Colombia","Santander",2007-02-11,2007-02-17,129,129,"C-NIH"
"Dengue","Colombia","Sucre",2007-02-11,2007-02-17,14,14,"C-NIH"
"Dengue","Colombia","Tolima",2007-02-11,2007-02-17,26,26,"C-NIH"
"Dengue","Colombia","Valle",2007-02-11,2007-02-17,6,6,"C-NIH"
"Dengue","Colombia","Vaupes",2007-02-11,2007-02-17,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2007-02-11,2007-02-17,0,0,"C-NIH"
"Dengue","Colombia","Amazonas",2007-02-18,2007-02-24,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2007-02-18,2007-02-24,5,5,"C-NIH"
"Dengue","Colombia","Arauca",2007-02-18,2007-02-24,15,15,"C-NIH"
"Dengue","Colombia","Atlantico",2007-02-18,2007-02-24,15,15,"C-NIH"
"Dengue","Colombia","Bogota",2007-02-18,2007-02-24,0,0,"C-NIH"
"Dengue","Colombia","Bolivar",2007-02-18,2007-02-24,6,6,"C-NIH"
"Dengue","Colombia","Boyaca",2007-02-18,2007-02-24,7,7,"C-NIH"
"Dengue","Colombia","Caldas",2007-02-18,2007-02-24,17,17,"C-NIH"
"Dengue","Colombia","Caqueta",2007-02-18,2007-02-24,11,11,"C-NIH"
"Dengue","Colombia","Casanare",2007-02-18,2007-02-24,13,13,"C-NIH"
"Dengue","Colombia","Cauca",2007-02-18,2007-02-24,9,9,"C-NIH"
"Dengue","Colombia","Cesar",2007-02-18,2007-02-24,14,14,"C-NIH"
"Dengue","Colombia","Choco",2007-02-18,2007-02-24,0,0,"C-NIH"
"Dengue","Colombia","Cordoba",2007-02-18,2007-02-24,8,8,"C-NIH"
"Dengue","Colombia","Cundinamarca",2007-02-18,2007-02-24,6,6,"C-NIH"
"Dengue","Colombia","Guainia",2007-02-18,2007-02-24,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2007-02-18,2007-02-24,9,9,"C-NIH"
"Dengue","Colombia","Guaviare",2007-02-18,2007-02-24,4,4,"C-NIH"
"Dengue","Colombia","Huila",2007-02-18,2007-02-24,96,96,"C-NIH"
"Dengue","Colombia","Magdalena",2007-02-18,2007-02-24,5,5,"C-NIH"
"Dengue","Colombia","Meta",2007-02-18,2007-02-24,46,46,"C-NIH"
"Dengue","Colombia","Narino",2007-02-18,2007-02-24,0,0,"C-NIH"
"Dengue","Colombia","Norte_Santander",2007-02-18,2007-02-24,86,86,"C-NIH"
"Dengue","Colombia","Putumayo",2007-02-18,2007-02-24,22,22,"C-NIH"
"Dengue","Colombia","Quindio",2007-02-18,2007-02-24,128,128,"C-NIH"
"Dengue","Colombia","Risaralda",2007-02-18,2007-02-24,19,19,"C-NIH"
"Dengue","Colombia","San_Andres",2007-02-18,2007-02-24,2,2,"C-NIH"
"Dengue","Colombia","Santander",2007-02-18,2007-02-24,116,116,"C-NIH"
