Dengue cases,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MS,MT,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SE,SP,TO
Oct1993,0,28,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Nov1993,0,21,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0
Dec1993,0,9,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,38,0,0,0,0,0,0,20,0
Jan1994,0,33,0,0,4,3,0,0,57,0,8,31,0,0,0,0,0,0,28,0,0,0,0,0,0,95,0
Feb1994,0,30,0,0,15,3,1,0,806,0,19,81,0,0,0,0,0,0,23,0,0,0,0,0,0,68,0
Mar1994,0,51,0,0,64,33,0,0,1838,0,111,87,0,0,0,0,0,0,77,0,0,0,0,0,0,212,1
Apr1994,0,20,0,0,22,337,0,0,455,0,82,139,0,0,0,0,0,0,14,0,0,0,0,0,0,117,4
May1994,0,60,0,0,86,9832,3,0,143,0,197,351,0,0,0,0,0,1,20,0,0,0,0,0,0,41,1
Jun1994,0,103,0,0,45,25860,1,0,35,0,207,98,0,0,0,0,0,8,23,0,0,0,0,0,0,41,0
Jul1994,0,19,0,0,297,8306,5,0,6,0,129,104,0,0,0,0,0,11,34,0,0,0,0,0,0,0,0
Aug1994,0,7,0,0,246,2305,3,0,3,0,92,14,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0
Sep1994,0,3,0,0,213,387,0,0,0,0,77,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Oct1994,0,4,0,0,277,99,0,0,0,0,35,9,0,0,0,0,0,0,23,77,0,0,0,0,0,0,12
Nov1994,0,6,0,0,529,50,0,0,0,0,112,78,0,0,0,0,0,0,6,256,0,0,0,0,0,0,0
Dec1994,0,8,0,0,94,6,0,0,0,0,85,374,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0
Jan1995,0,23,0,0,994,153,0,0,1750,0,831,6352,99,0,0,55,63,5,586,9,0,0,0,0,0,670,1207
Feb1995,0,26,0,0,3616,107,0,0,1048,5,1803,2442,236,0,1,177,315,179,7817,14,0,0,0,0,0,1110,723
Mar1995,0,93,0,0,9537,101,0,2,1516,19,1439,1887,650,2,35,822,639,454,16442,22,0,0,0,0,0,1988,604
Apr1995,0,139,0,0,12550,263,0,97,1061,25,480,844,628,6,421,951,2060,583,7743,836,0,0,0,0,0,1288,456
May1995,0,129,0,0,6420,314,0,1547,1519,223,212,72,642,16,1185,775,3540,965,2235,3846,0,0,0,0,0,314,202
Jun1995,0,58,0,0,971,184,0,707,536,332,42,18,353,4,1,207,1683,599,124,418,0,0,0,0,0,51,1
Jul1995,0,182,0,0,300,219,0,96,303,136,31,12,64,0,5,62,881,140,85,16,0,0,0,0,0,23,0
Aug1995,0,73,0,0,117,230,0,40,60,125,13,1,29,0,6,57,484,106,65,0,0,0,0,0,0,8,0
Sep1995,0,6,0,0,2,123,0,2,20,212,8,0,21,0,7,9,169,92,21,0,0,0,0,0,0,8,0
Oct1995,0,49,0,0,0,105,0,10,87,139,7,0,22,0,11,0,37,19,20,2,0,0,0,0,0,29,0
Nov1995,0,15,0,0,0,126,0,15,114,285,52,0,28,0,19,1,40,36,53,0,0,0,0,0,0,134,0
Dec1995,0,1,0,0,0,66,0,209,177,275,197,0,60,0,10,0,71,82,49,18,0,0,0,0,0,425,0
Jan1996,0,621,0,0,6200,104,27,158,1464,4700,608,3388,168,1,33,674,734,536,499,56,4,0,0,2,80,438,202
Feb1996,0,1193,0,0,7395,92,17,195,620,583,471,1215,261,6,16,698,461,905,744,54,2,0,0,0,201,1009,213
Mar1996,0,193,0,0,9695,91,9,550,748,354,551,858,329,1,1301,1188,1819,742,3673,38,2,0,0,0,130,1504,316
Apr1996,0,97,0,0,12938,139,14,1661,867,255,527,401,460,2,797,1499,4860,866,6873,563,1,0,0,0,283,2585,248
May1996,0,238,0,0,17137,760,9,2325,557,210,417,154,2760,1,4108,559,8228,1180,2866,721,0,0,0,0,241,1405,212
Jun1996,0,136,0,0,6334,269,3,479,187,86,100,0,323,0,2943,106,2782,822,738,462,0,0,0,0,248,123,21
Jul1996,0,39,0,0,2357,327,1,155,165,9,66,0,57,0,443,72,1106,310,203,1541,0,0,0,0,118,13,62
Aug1996,0,23,0,0,792,178,0,37,97,11,58,0,89,0,255,33,523,96,82,1462,0,0,1,0,66,3,12
Sep1996,0,52,0,0,321,125,1,8,60,22,58,0,74,1,430,24,414,107,75,828,0,0,50,0,189,4,45
Oct1996,0,4,0,0,442,14,1,9,122,18,79,0,46,10,415,61,439,96,53,408,0,0,124,0,255,11,44
Nov1996,0,0,0,0,552,0,3,17,475,32,228,0,212,252,619,196,618,59,127,360,0,0,124,0,736,6,254
Dec1996,0,0,0,0,272,0,0,121,954,32,201,0,471,47,708,91,738,58,292,115,0,0,110,1,615,3,336
Jan1997,0,556,0,0,8030,253,61,1264,732,168,413,389,320,74,3906,45,2310,525,308,1032,0,23,110,0,1532,90,104
Feb1997,0,166,0,0,7356,230,183,4967,901,309,506,459,1424,324,5209,86,3153,316,370,1446,0,16,42,1,1008,249,197
Mar1997,0,1576,0,0,12382,585,162,3730,879,421,1056,958,1843,764,13061,178,6484,111,289,3502,0,16,34,1,934,489,163
Apr1997,0,1804,0,0,7302,547,84,1214,350,867,1587,585,396,3095,12706,122,9940,236,158,8052,0,0,55,1,1077,553,118
May1997,0,785,0,0,6096,866,35,237,226,1686,544,352,191,2183,8873,122,4318,429,100,7620,0,0,14,0,1301,392,96
Jun1997,0,901,0,0,2580,926,38,87,165,1221,206,166,80,1853,5184,65,2102,691,75,2944,0,0,24,0,693,122,62
Jul1997,0,426,0,0,849,421,22,21,61,715,193,69,61,1631,1681,98,1189,395,43,803,0,0,41,1,652,24,29
Aug1997,0,1167,0,0,413,792,50,5,81,277,91,236,34,1865,619,0,930,73,37,180,0,0,16,0,271,3,30
Sep1997,0,285,0,0,195,665,24,17,48,271,90,40,55,2306,526,0,298,34,47,0,0,0,21,0,419,1,13
Oct1997,0,0,0,0,60,544,29,19,49,138,119,71,30,2914,772,0,421,31,28,0,0,0,13,1,687,9,22
Nov1997,0,0,0,0,181,514,10,272,114,29,91,120,23,2223,97,0,1068,0,67,0,0,0,8,0,989,20,15
Dec1997,0,0,0,0,9,247,11,1101,103,0,89,117,898,1645,67,0,414,0,782,0,0,0,2,0,1624,88,13
Jan1998,0,155,15,12,1293,320,145,10041,341,750,67,967,7266,4501,1231,60,1603,660,1554,1054,5,0,11,2,4659,1165,95
Feb1998,0,173,11,27,2869,911,249,16641,381,1926,132,1443,20104,3797,5341,80,3584,1667,1917,1701,11,0,17,2,4449,2351,332
Mar1998,0,1011,0,360,6336,1585,446,8921,1801,3302,466,2449,71592,1533,16674,733,7965,5052,8272,4707,31,0,20,19,4508,7116,553
Apr1998,0,1996,0,5737,6281,1719,647,2512,1675,2836,583,1545,28358,597,12084,918,13744,4134,11359,5184,22,3,46,55,6132,7377,449
