"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-02-28,9705,14438,"total=9705","total=14438","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-03-31,11486,25924,"total=11486","total=25924","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-04-30,7170,33094,"total=7170","total=33094","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-05-31,3717,36811,"total=3717","total=36811","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-06-30,653,37464,"total=653","total=37464","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-07-31,149,37613,"total=149","total=37613","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-08-31,92,37705,"total=92","total=37705","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-09-30,70,37775,"total=70","total=37775","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-10-31,81,37856,"total=81","total=37856","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-11-30,331,38187,"total=331","total=38187","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-12-31,710,38897,"total=710","total=38897","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-01-31,2097,2097,"total=2097","total=2097","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-02-28,2537,4634,"total=2537","total=4634","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-03-31,2689,7323,"total=2689","total=7323","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-04-30,1161,8484,"total=1161","total=8484","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-05-31,518,9002,"total=518","total=9002","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-06-30,247,9249,"total=247","total=9249","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-07-31,185,9434,"total=185","total=9434","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-08-31,199,9633,"total=199","total=9633","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-09-30,291,9924,"total=291","total=9924","TabnetTotal",""
